0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
-618.6043,-597.6561,-561.8697,-505.19644,-464.92685,-459.0511,-480.24713,-501.9561,-517.4809,-516.79706,-520.2935,-521.57874,-513.4955,-515.17584,-518.87,-509.52454,-497.55743,-488.84384,-488.73325,-493.3982,-494.89536,-491.8029,-465.27426,-432.841,-412.54355,-385.07837,-352.1169,-300.71942,-280.6417,-296.33502,-304.27335,-278.38773,-279.25974,-280.2688,-298.40765,-350.4821,-401.6792,-405.91235,-414.0594,-415.9162,-390.46863,-307.96756,-277.24658,-270.70804,-275.63815,-298.85037,-308.75348,-299.04834,-271.74155,-259.22186,-267.56277,-267.27576,-275.01666,-288.02844,-270.34802,-269.43768,-274.9667,-271.41766,-275.21378,-277.64136,-277.8249,-289.9887,-263.3012,-241.20282,-259.0092,-265.68198,-266.80148,-270.34998,-269.1342,-277.12793,-274.64297,-274.41803,-301.3434,-369.52914,-426.69662,-446.51505,-460.79736,-457.48883,-419.4299,-395.2568,-396.0346,-427.02368,-460.35132,-472.35782,-484.65393,-505.0835,-509.68985,-504.70547,-497.22803,-493.05066,-504.135,-503.28964,-493.7038,-472.43112,-447.2282,-447.28067,-454.7538,-442.74146,-456.32352
-0.81759423,8.695946,34.593895,59.52375,75.94782,81.13484,76.05827,72.567696,75.14086,78.855934,74.851974,69.32248,76.75868,77.95645,74.29847,79.14822,83.617004,85.09737,80.72694,79.47336,80.37241,88.697586,110.07788,126.70752,131.43869,129.97595,144.51468,168.19315,175.93085,165.32251,165.47058,183.95038,188.36624,192.85852,185.54404,162.22247,145.90784,143.98196,135.20317,122.10423,129.60461,165.55685,183.8116,185.70792,175.17093,155.85594,150.35815,157.59627,179.57208,188.83461,187.88306,198.66367,193.84262,182.31485,193.5984,192.65622,191.85289,195.3552,189.03473,188.28128,186.84198,177.01266,192.33914,206.28757,202.28857,200.78387,193.68909,191.72525,194.65857,190.7528,198.29846,195.63177,171.97195,134.21893,112.30472,107.44861,103.28331,105.10562,115.018845,127.958885,135.58566,124.23924,101.03382,88.46614,90.2263,93.5791,89.81774,91.422165,97.19903,95.90765,89.06519,92.098206,95.85758,109.637024,121.21878,117.29094,107.89515,120.004684,113.84625
-13.113886,-22.745384,-29.527308,-58.21733,-78.1602,-77.40941,-64.830574,-46.525536,-20.513298,-12.681942,-15.869048,-22.786,-18.95502,-15.964602,-18.785103,-21.138569,-29.627136,-40.665436,-45.04235,-39.114666,-39.458923,-33.230183,-33.01276,-49.151413,-70.10267,-107.60291,-120.66458,-138.46887,-146.14044,-143.58253,-132.62817,-128.3464,-118.35164,-111.71738,-101.2508,-76.426544,-42.32168,-42.19147,-46.78962,-65.19754,-86.05522,-120.70754,-124.06668,-126.98568,-140.0327,-143.69334,-140.78293,-143.95201,-143.8921,-141.7463,-127.82797,-113.295044,-115.30589,-117.48261,-114.50837,-115.01207,-109.88601,-111.86119,-117.39183,-113.39098,-118.39956,-131.14879,-142.88922,-138.2186,-117.87675,-110.69281,-117.96282,-117.79277,-114.7738,-112.65273,-105.12144,-108.76975,-120.40523,-108.773506,-75.71353,-56.009914,-45.510902,-54.013405,-87.411255,-94.5479,-80.85633,-61.43702,-51.079773,-52.586075,-35.593002,-5.2596216,-5.980205,-12.03425,-13.759064,-22.453842,-23.650845,-21.127615,-27.570951,-37.843513,-56.56442,-61.820957,-64.59331,-61.954163,-50.590576
3.1607552,3.8702629,-1.0051758,-1.1585443,-0.17114878,-2.334937,-8.943432,-9.44178,-1.3240268,4.101081,1.2076114,-0.8096744,4.2450247,2.8093398,-0.72582066,2.647803,-0.75681794,-6.6978226,-2.5780306,2.9740171,-3.0462332,-9.41195,-12.895063,-18.779202,-29.612995,-40.818893,-30.225842,-16.43849,-12.4283085,-13.390375,-8.830524,2.416542,8.642026,4.774973,4.6020575,10.455833,17.168493,14.018175,11.521193,6.9478025,-2.5813932,3.7591038,8.07144,9.237676,2.4790409,-4.9778047,-6.268755,-9.292066,-5.649184,2.9293685,11.812532,9.366351,4.8919606,6.3027015,15.1058235,15.070343,15.793899,9.061832,7.5570927,13.312901,8.48534,-9.408327,-9.65115,4.0052934,8.404245,8.763363,10.874285,9.02806,9.866577,13.855154,12.31057,12.690303,-2.8116164,-19.036612,-15.448261,-5.104658,-3.8817801,-18.248955,-30.378536,-28.636768,-23.95435,-20.733204,-6.373815,0.08019123,0.29177547,1.7887976,0.61942655,-3.6212704,-7.468046,-13.27622,-20.422176,-22.054337,-23.612865,-37.284927,-52.360817,-50.51314,-43.03853,-46.024216,-38.24939
4.9107,7.488615,13.166483,27.484375,32.415592,27.768398,21.777588,18.399403,11.619623,8.7181,7.625021,7.225559,10.018929,7.67692,4.9636393,11.358665,12.963886,12.612574,15.821278,18.931463,17.858604,6.325705,0.09492743,6.2802153,7.9327626,15.393317,38.449677,55.77759,54.968002,50.243423,49.35141,52.47245,54.644424,47.517097,41.14644,42.542374,44.843933,43.088516,41.008453,40.251873,34.00029,44.722282,42.960663,41.407074,40.071457,27.886625,26.840946,30.925903,41.469284,51.584564,49.004463,42.678394,44.35543,45.355045,46.793633,43.10244,42.81028,38.934143,38.236877,42.556183,43.721603,47.455196,62.623837,63.244576,44.923626,37.34798,39.84281,40.00283,39.08693,46.949764,43.361237,45.473053,40.19502,31.191738,23.385448,22.522366,18.936234,13.226717,17.297766,20.672478,21.44376,18.05563,22.145424,23.712181,16.377926,3.0192108,3.2709794,5.8093333,2.5706053,0.95812905,-1.1904472,-0.71724075,2.8808882,-4.583889,-7.3220463,-1.6194285,8.65782,5.4962153,1.5569671
-4.025857,-12.201111,-12.49808,-16.499329,-23.18435,-25.11298,-16.537058,-9.225732,-9.702017,-15.333466,-15.361198,-15.258545,-16.605843,-17.593513,-21.211428,-16.394691,-14.017581,-19.404423,-21.36473,-18.125605,-12.851177,-23.698126,-34.20357,-33.944225,-28.26136,-20.75952,-12.339809,-27.314215,-38.470726,-39.633743,-41.080177,-47.418907,-43.797928,-41.582912,-40.45752,-33.803535,-12.99734,-12.0508175,-15.183313,-23.42881,-39.375065,-51.702385,-55.953613,-57.53012,-58.266853,-62.614975,-55.02862,-52.20849,-55.87764,-55.9672,-56.15039,-50.938805,-48.78736,-55.18624,-53.99562,-51.719925,-49.12694,-48.70734,-53.19037,-50.9746,-48.62221,-38.88762,-37.35501,-43.98273,-50.264633,-51.108795,-51.828495,-46.956776,-48.882042,-50.438663,-48.34984,-46.589172,-39.496056,-26.007053,-19.278183,-22.350914,-22.70953,-24.267893,-22.924038,-24.04538,-20.789593,-16.284933,-19.376171,-27.838856,-26.275415,-19.337032,-15.397657,-11.947637,-15.11874,-13.189663,-6.979968,-0.11185753,3.231039,-0.89426553,-2.8478193,-2.0375133,2.8545702,3.1741366,-0.6254234
1.144316,-3.2414064,-10.746246,-9.981787,-6.1396465,-2.6388543,1.1624007,-0.5600802,-1.7463675,-1.2823013,-2.4419904,-0.6841967,-1.2701135,-4.599182,-9.795476,-4.891629,0.14162695,-4.9547453,-3.1974092,-1.5758945,-0.5847956,-13.017864,-21.958445,-23.466484,-9.9415245,2.9725533,4.8541164,-11.12643,-15.625813,-14.781906,-17.032951,-16.76901,-10.718837,-4.9605656,-4.0710344,-12.053257,0.37586462,1.5535657,-0.693132,-6.329692,-14.412586,-10.015311,-3.9804227,1.076736,5.092643,9.71291,16.020348,13.630794,2.8757346,-4.2010455,-5.116603,-1.1613781,-3.5292056,-11.936283,-2.8850155,5.351722,6.7352366,4.593024,-2.5937116,-2.1488628,-1.6469352,-8.363276,-14.436752,-11.409384,-1.4201913,5.2238436,5.470508,8.989335,8.641726,0.5834031,3.5871885,3.9019122,7.3517313,6.438876,3.8361998,-2.3813338,-5.0729895,-9.220586,-1.6920334,1.8734578,0.027715124,-2.7368178,-5.129024,-13.583379,-13.720261,-4.838025,-2.2635045,-1.7398596,-3.5650163,0.18080246,1.7743058,7.7731466,11.62685,15.084102,11.38641,4.652204,5.820979,11.046112,11.465904
0.894583,1.9099435,-2.2488234,3.8056424,8.324142,10.548744,9.877747,3.6211944,-0.17226033,3.5901306,2.2763684,2.2978344,4.4832077,1.5463965,-0.88608825,-0.018684506,2.6125746,3.8068063,6.6062193,6.045207,4.9186296,-4.8573284,-14.314798,-12.679003,-0.5846226,2.2479758,8.176899,4.4919834,4.3802915,7.7994986,9.212611,11.788334,15.182924,11.921135,8.958609,7.8255796,10.4844,12.357302,13.210704,15.341782,20.878395,22.216106,20.442797,20.585487,25.272224,25.681961,20.22918,22.032784,32.644302,30.134785,20.257008,15.503586,21.856537,26.43153,27.173172,26.659485,24.8825,18.897503,12.235027,12.560033,17.563725,18.436485,23.432747,20.290442,17.453747,19.520817,19.14713,16.732876,18.104994,20.293427,21.367275,21.56044,23.80589,24.332794,17.5062,13.90015,12.1366205,18.23777,22.624592,22.563236,15.614494,10.857409,13.808991,12.224493,7.6855974,3.074048,0.15164004,0.47330964,0.48028773,1.2946593,-1.8600092,-2.4855514,-0.6295597,8.54259,6.6275234,0.5110457,-1.0447489,2.8890502,1.9578985
-4.3558683,-7.748864,-5.908076,-8.594805,-12.684706,-14.954226,-15.972635,-15.157718,-10.926575,-10.672718,-10.973029,-10.601168,-7.1369867,-5.4761314,-5.500146,-9.705212,-11.362341,-11.227043,-13.760691,-12.884326,-10.408126,-15.296509,-26.048538,-23.6102,-18.626434,-21.221218,-10.111425,-12.168415,-10.755496,-3.2450151,-0.004915595,-0.58291864,-4.4185104,-15.123238,-17.144165,-8.024744,-12.908833,-12.070779,-11.072512,-6.5944295,1.5049322,-6.9982414,-13.349225,-20.076508,-23.973902,-32.88758,-41.408745,-36.66796,-14.365204,-11.474791,-16.972374,-20.541817,-9.103212,2.966107,-1.8422145,-6.570574,-11.553511,-15.117691,-16.521849,-14.383952,-6.6444397,6.220915,5.99502,1.1497604,-13.466219,-17.02095,-16.916885,-21.642845,-21.291834,-16.678314,-13.8556,-10.633567,-7.541809,-2.974546,-10.930361,-10.0089655,-6.585717,6.551946,5.999693,1.903229,-0.3685397,0.9686055,-0.78588855,-1.2052691,-3.495154,-5.6987276,-9.189967,-7.700964,-6.0629263,-4.945072,-7.493144,-11.362316,-12.346066,-11.517313,-7.6440034,-2.1605935,-8.220222,-11.158545,-13.4396105
2.3475442,0.6026957,1.9948949,-2.5172212,-1.4121292,-4.0789766,-8.591106,-7.2331867,-0.6789876,-2.3589878,-1.7560711,2.5362453,4.840192,8.003002,7.2840214,4.988167,4.1965375,1.3411748,0.42356586,1.2839531,1.8112543,1.2498364,-4.2662783,-4.030077,3.2082753,15.438459,23.091389,24.689556,27.59086,29.692398,26.712479,23.95677,17.970078,12.4779,9.454769,4.733979,-2.6745212,-2.8767433,-4.24603,-0.510434,3.728952,10.650777,15.635759,14.651615,8.263653,1.9636118,0.3765589,-3.5534272,3.6430707,6.7654715,12.30032,12.93008,12.582201,20.12358,20.776047,20.375282,14.809811,17.28571,24.03416,26.542141,28.456715,29.073338,12.491289,20.64495,20.478058,19.683117,19.433737,16.471786,18.566647,21.857128,25.033691,26.3402,24.793936,14.7093525,-3.4210548,-2.6273189,1.1409984,-3.1615257,-0.43813422,5.1397133,10.233707,8.077707,0.37197867,-0.29161474,-2.8142881,1.6202266,2.1275787,4.0629673,9.096285,12.985985,10.466036,7.442658,9.094511,-0.041006215,5.7813005,16.464956,12.909079,10.672892,7.5961823
4.259305,6.6798387,2.4504685,-5.0633497,-4.701587,-6.6138015,-5.533495,-1.2721524,-0.42132503,-2.1993837,0.29243344,4.510822,3.4337196,5.8529577,5.004668,5.7779555,5.4284744,3.0049167,7.0870323,4.144807,0.9577515,9.916697,12.104438,6.5456996,10.441074,14.641776,14.914114,23.599503,21.418367,12.0049,3.3750615,2.3126092,2.5209558,6.4809885,2.2854037,-7.3575697,-5.360065,-5.315325,-8.819919,-7.5447493,-3.2326078,3.0608068,10.063961,13.352173,6.4481354,2.4427862,0.11583981,-8.450449,-3.186017,6.041076,13.320948,12.681463,3.382636,8.210836,11.642803,9.677658,8.305766,13.684221,21.325548,21.161549,16.676725,4.862026,-10.810959,-2.5774565,11.772924,16.162937,12.622909,9.12064,12.726702,18.724407,17.20813,14.578713,16.681198,15.948849,7.1270437,6.927101,7.6129546,-12.764706,-19.821362,-12.468615,-6.765732,-10.682543,-9.062019,-1.9062945,-3.1756873,-1.657439,-0.34525046,1.8769548,6.9055953,5.8754363,5.941168,4.5052633,9.075443,1.4468621,-0.018190406,1.826045,6.412911,9.406505,5.2086368
-1.6364324,-2.691137,-7.216997,-13.2603,-16.870974,-19.083744,-14.416221,-6.0424156,-6.623769,-11.724045,-9.518052,-6.342777,-6.8607492,-5.0925183,-9.024911,-8.549317,-8.121132,-11.263579,-8.347505,-11.992739,-12.77796,1.0112846,10.641952,4.6535134,-4.808258,-24.753536,-16.42092,-4.2074976,-5.422617,-12.598125,-20.555765,-12.8563595,-6.9658575,-0.606152,-1.8090433,-10.07239,-17.854952,-19.432621,-23.340754,-26.801834,-18.037592,-15.871071,-8.811708,-5.0633802,-14.976556,-24.577251,-33.88378,-36.848038,-21.38954,-8.418131,-3.946463,-7.122224,-15.624185,-15.830227,-10.010215,-11.002588,-9.153879,-7.06049,-5.773657,-8.4956875,-13.930929,-22.389162,-24.375607,-21.96408,-15.407881,-13.438707,-13.4830265,-17.887836,-20.101578,-21.507145,-23.856956,-23.836576,-14.629303,-2.9127643,1.7914104,-0.21576369,-1.957928,-12.072144,-24.31275,-25.9725,-26.513115,-28.13432,-22.615614,-9.573526,-6.6466255,-9.512241,-9.204967,-6.7587204,-9.334738,-16.613115,-14.016777,-13.4526005,-10.490341,-14.049921,-19.326271,-21.52848,-16.964136,-17.061466,-16.48782
-0.5837887,-3.4204109,-1.2137085,3.7618353,7.1028585,6.605336,5.803955,8.67549,7.6414013,0.62184757,-1.8200159,1.3249204,6.3986263,6.171207,-3.3252017,-2.5082505,1.1343915,0.43938756,2.2002265,0.2964113,2.655281,9.805589,23.277,23.874771,10.353137,-10.259131,1.060414,0.8881182,2.6774197,7.7741814,7.950313,14.13756,19.466686,23.948463,23.967695,12.726039,-0.95144504,-0.99287826,-1.2196698,-9.68342,-7.831956,-1.0177445,7.484671,14.345963,14.821136,13.362131,8.31326,8.420525,10.625519,10.636201,10.15526,7.534283,-0.0072996616,-5.5910125,-2.960431,-0.00033390522,3.1564465,-0.29194534,-2.2846293,-4.5411277,-5.4400806,-0.042799193,13.416359,12.566244,2.4460428,-5.1537857,-0.24251628,1.031774,-5.572547,-9.316514,-6.1052866,-6.301751,-0.29274797,1.0942227,4.8393726,4.2791014,4.126014,13.049773,14.855974,12.393812,9.155321,6.5649023,-1.3966892,4.137676,5.9205074,4.0286603,5.1089244,8.194605,1.4990296,-4.7420664,-1.5333406,0.85789216,-0.25814927,-3.9005802,-5.9383297,-2.9296062,-4.20392,-7.385374,-1.4264786
